date,game,league,team_a,a_score,b_score,team_b,time,image
18-Sep,436,M1,MVBC,56,30,Maties,19:00 - 20:30,mvbc
18-Sep,437,L1,Panthers,30,57,MVBC,19:00 - 20:30,mvbc
18-Sep,438,SL,MVBC,99,32,Maties,20:30 - 22:00,mvbc
18-Sep,439,M1,Dragons,46,43,Langa Kings,20:30 - 22:00,results
19-Sep,440,12G,Heideveld,20,8,Turfhall Primary,9:00 - 10:15,results
19-Sep,441,14G,MVBC,28,4,Cape Waves,9:00 - 10:15,mvbc
19-Sep,442,12B,Heideveld,12,14,Islamia College,10:15 - 11:30,results
19-Sep,443,12B,Cape Waves,20,0,Turfhall Primary,10:15 - 11:30,results
19-Sep,444,16B,Spartans,20,0,Flames,11:30 - 12:45,results
19-Sep,445,14G,Heideveld,20,0,Turfhall Primary,11:30 - 12:45,results
19-Sep,446,14B,MVBC,46,35,Eagles,12:45 - 14:00,mvbc
19-Sep,447,14B,Heideveld,68,2,Turfhall Primary,12:45 - 14:00,results
19-Sep,448,18B,Pinelands,20,0,Themba - Elihle,14:00 - 15:15,results
19-Sep,449,16B,Cape Waves,37,67,Eagles,14:00 - 15:15,results
19-Sep,450,16B,Heideveld,64,54,WCSS,15:15 - 16:30,results
19-Sep,451,16G,Eagles,23,35,Future Stars,15:15 - 16:30,results
19-Sep,452,16B,MVBC,20,0,Flames,16:30 - 17:45,mvbc
19-Sep,453,16B,Spartans,132,28,Future Stars,16:30 - 17:45,results
20-Sep,454,16G,Spartans,29,47,Cape Waves,13:00 - 14:30,results
20-Sep,455,16G,Eagles,30,23,Gugulethu Hustlers,13:00 - 14:30,results
20-Sep,456,16B,WCSS,95,22,Cape Waves,14:30 - 16:00,results
20-Sep,457,16B,MVBC,67,31,Gugulethu Hustlers,14:30 - 16:00,mvbc
20-Sep,458,16G,Heideveld,94,11,Themba - Elihle,16:00 - 17:30,results
20-Sep,409,M1,MVBC,69,36,Dragons,16:00 - 17:30,mvbc
21-Sep,460,M1,Hellas,55,49,Pinelands,19:00 - 20:30,results
21-Sep,461,L1,UCT,26,41,Heideveld,19:00 - 20:30,results
21-Sep,462,M1,Heideveld,20,0,Maties,20:30 - 22:00,results
21-Sep,463,M1,UCT,58,34,Langa Kings,20:30 - 22:00,results
25-Sep,464,SL,UCT,76,47,Gugulethu Hustlers,19:00 - 20:30,results
25-Sep,409,M1,Maties,0,20,Langa Kings,19:00 - 20:30,results
25-Sep,466,SL,Heideveld,96,64,Eagles,20:30 - 22:00,results
25-Sep,467,L1,Panthers,21,37,UCT,20:30 - 22:00,results
26-Sep,468,12G,Islamia College,10,13,Gugulethu Hustlers,09:00 - 10:15,results
26-Sep,469,14B,Turfhall Primary,31,27,Future Stars,10:15 - 11:30,results
26-Sep,470,12B,Heideveld,48,6,Turfhall Primary,11:30 - 12:45,results
26-Sep,471,12B,Islamia College,10,34,MVBC,12:45 - 14:00,mvbc
26-Sep,472,14G,MVBC,88,2,Turfhall Primary,14:00 - 15:15,mvbc
26-Sep,473,14B,MVBC,76,5,Future Stars,15:15 - 16:30,mvbc
26-Sep,474,16G,MVBC,57,21,Gugulethu Hustlers,16:30 - 17:45,mvbc
26-Sep,429,16B,Future Stars,20,0,Flames,17:45 - 19:00,results
27-Sep,475,16G,Heideveld,73,17,Cape Waves,13:00 - 14:30,results
27-Sep,476,16G,Spartans,20,0,Themba - Elihle,14:30 - 16:00,results
27-Sep,477,16B,Heideveld,20,0,Cape Waves,16:00 - 17:30,results
28-Sep,478,M1,MVBC (A1),65,49,Pinelands (B4),19:00 - 20:30,mvbc
28-Sep,479,M1,Eagles (B1),60,46,Dragons (A4),19:00 - 20:30,results
28-Sep,480,M1,Heideveld (A2),51,68,Panthers (B3),20:30 - 22:00,results
28-Sep,481,M1,Hellas (B2),20,0,UCT (A3),20:30 - 22:00,results
2-Oct,482,SL,CPUT Alumni (B1),110,48,Gugulethu Hustlers (A4),19:00 - 20:30,results
2-Oct,483,SLL,Lethal Ladies (B2),46,30,Maties (A3),19:00 - 20:30,results
2-Oct,484,SL,CPUT Cats (A1),93,50,Eagles (B4),20:30 - 22:00,results
2-Oct,485,SLL,MVBC (A2),45,42,Gugulethu Hustlers (B3),20:30 - 22:00,mvbc
3-Oct,486,12B,MVBC,42,2,Future Stars,09:00 - 10:15,mvbc
3-Oct,487,14B,MVBC,94,11,Future Stars,10:15 - 11:30,mvbc
3-Oct,488,14B,Heideveld,53,14,Cape Waves,11:30 - 12:45,results
3-Oct,489,14B,MVBC,88,10,Turfhall Primary,12:45 - 14:00,mvbc
3-Oct,490,18B,WCSS,,,Gugulethu Hustlers,14:00 - 15:15,results
3-Oct,491,16B,Heideveld (A1),20,0,Future Stars (B4),15:15 - 16:30,results
3-Oct,492,16G,Heideveld (B1),20,0,Eagles (A4),16:30 - 17:45,results
4-Oct,493,16B,MVBC (B2),67,56,Eagles (A3),13:00 - 14:30,mvbc
4-Oct,494,16G,Gugulethu Hustlers (A2),45,44,Spartans (B3),13:00 - 14:30,results
4-Oct,495,16B,WCSS (A2),122,25,Gugulethu Hustlers (B3),14:30 - 16:00,results
4-Oct,496,16G,MVBC (A1),82,10,Themba - Elihle (B4),14:30 - 16:00,mvbc
4-Oct,497,16B,Spartans (B1),20,0,Cape Waves (A4),16:00 - 17:30,results
4-Oct,498,16G,Cape Waves (B2),19,55,WCSS (A3),16:00 - 17:30,results
9-Oct,499,SLL,CPUT Cats 1 (A1),62,22,UCT (B4),19:00 - 20:30,results
9-Oct,501,SL,MVBC (A2),102,52,Heideveld (B3),20:30 - 22:00,mvbc
10-Oct,503,12G,MVBC (1),16,25,Cape Waves (4),9:00 - 10:15,mvbc
10-Oct,504,12G,Heideveld (2),14,13,Gugulethu Hustlers (3),9:00 - 10:15,results
10-Oct,505,12B,MVBC (1),32,17,Islamia College (4),10:15 - 11:30,mvbc
10-Oct,506,12B,Cape Waves (2),32,25,Heideveld (3),10:15 - 11:30,results
10-Oct,507,14G,MVBC (1),20,0,Future Stars (4),11:30 - 12:45,mvbc
10-Oct,508,14G,Cape Waves (2),33,4,Heideveld (3),11:30 - 12:45,results
10-Oct,509,14B,Heideveld (1),45,19,Eagles (4),12:45 - 14:00,results
10-Oct,510,14B,MVBC (2),52,14,Cape Waves (3),12:45 - 14:00,mvbc
10-Oct,511,16G,MVBC,64,45,WCSS,14:00 - 15:15,mvbc
10-Oct,512,16G,Heideveld,43,31,Gugulethu Hustlers,14:00 - 15:15,results
